lr,batch_size,dropout,best_val_acc
0.001,32,0.2,0.7238
0.001,64,0.2,0.7144
0.0001,64,0.2,0.7074
0.0001,32,0.2,0.7068
0.0001,32,0.5,0.681
0.001,64,0.5,0.6808
0.001,32,0.5,0.678
0.0001,64,0.5,0.6724
0.01,64,0.2,0.5972
0.01,32,0.2,0.5704
0.01,64,0.5,0.4632
0.01,32,0.5,0.1028
